
Pro Inside global      Inside local       Outside local      Outside global
tcp 172.25.40.31:51216 172.20.43.216:51216 204.154.110.227:80 204.154.110.227:80
tcp 172.25.40.31:50398 172.20.43.218:50398 65.52.108.29:443  65.52.108.29:443
tcp 172.25.40.31:50387 172.20.43.227:50387 52.222.240.126:443 52.222.240.126:443
tcp 172.25.40.31:50399 172.20.43.218:50399 65.52.108.29:443  65.52.108.29:443
tcp 172.25.40.31:50400 172.20.43.218:50400 65.52.108.29:443  65.52.108.29:443
tcp 172.25.40.31:50389 172.20.43.227:50389 52.222.240.126:443 52.222.240.126:443
tcp 172.25.40.31:50391 172.20.43.227:50391 52.222.240.126:443 52.222.240.126:443
tcp 172.25.40.31:50392 172.20.43.227:50392 52.222.240.126:443 52.222.240.126:443
tcp 172.25.40.31:50144 172.20.43.218:50144 104.239.245.101:443 104.239.245.101:443
tcp 172.25.40.31:50145 172.20.43.218:50145 104.239.245.101:443 104.239.245.101:443
tcp 172.25.40.31:50397 172.20.43.227:50397 52.222.240.126:443 52.222.240.126:443
tcp 172.25.40.31:50611 172.20.43.227:50611 52.94.216.48:443  52.94.216.48:443
tcp 172.25.40.31:50486 172.20.43.216:50486 23.32.247.86:80   23.32.247.86:80
tcp 172.25.40.31:50612 172.20.43.227:50612 52.94.216.48:443  52.94.216.48:443
tcp 172.25.40.31:1459  172.20.43.216:50129 104.244.43.177:443 104.244.43.177:443
tcp 172.25.40.31:51082 172.20.43.216:51082 195.209.111.4:443 195.209.111.4:443
tcp 172.25.40.31:51083 172.20.43.216:51083 195.209.111.4:443 195.209.111.4:443
tcp 172.25.40.31:50694 172.20.43.216:50694 107.22.241.77:443 107.22.241.77:443
udp 172.25.40.31:59302 172.20.43.212:59302 172.25.40.52:53   172.25.40.52:53
udp 172.25.40.31:51112 172.20.43.227:51112 172.25.40.52:53   172.25.40.52:53
udp 172.25.40.31:51120 172.20.43.217:51120 172.25.40.52:53   172.25.40.52:53
tcp 172.25.40.31:50554 172.20.43.227:50554 52.222.240.70:443 52.222.240.70:443
tcp 172.25.40.31:50555 172.20.43.227:50555 52.222.240.70:443 52.222.240.70:443
tcp 172.25.40.31:50439 172.20.43.216:50439 172.25.1.141:443  172.25.1.141:443
tcp 172.25.40.31:50440 172.20.43.216:50440 172.25.1.141:443  172.25.1.141:443
tcp 172.25.40.31:50441 172.20.43.216:50441 172.25.1.141:443  172.25.1.141:443
tcp 172.25.40.31:50681 172.20.43.216:50681 176.32.108.183:443 176.32.108.183:443
tcp 172.25.40.31:50685 172.20.43.216:50685 176.32.108.183:443 176.32.108.183:443
tcp 172.25.40.31:51202 172.20.43.216:51202 216.58.210.163:443 216.58.210.163:443
tcp 172.25.40.31:51203 172.20.43.216:51203 216.58.210.163:443 216.58.210.163:443
tcp 172.25.40.31:51204 172.20.43.216:51204 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:51205 172.20.43.216:51205 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:51195 172.20.43.216:51195 204.154.111.224:80 204.154.111.224:80
tcp 172.25.40.31:50623 172.20.43.227:50623 52.222.240.126:443 52.222.240.126:443
tcp 172.25.40.31:50689 172.20.43.216:50689 52.222.232.72:443 52.222.232.72:443
tcp 172.25.40.31:50560 172.20.43.227:50560 52.222.240.231:443 52.222.240.231:443
tcp 172.25.40.31:1456  172.20.43.216:50128 172.25.1.141:443  172.25.1.141:443
tcp 172.25.40.31:1457  172.20.43.216:50127 172.25.1.141:443  172.25.1.141:443
tcp 172.25.40.31:50589 172.20.43.227:50589 52.222.240.231:443 52.222.240.231:443
tcp 172.25.40.31:50590 172.20.43.227:50590 52.222.240.231:443 52.222.240.231:443
tcp 172.25.40.31:50591 172.20.43.227:50591 52.222.240.231:443 52.222.240.231:443
tcp 172.25.40.31:50592 172.20.43.227:50592 52.222.240.231:443 52.222.240.231:443
tcp 172.25.40.31:50593 172.20.43.227:50593 52.222.240.231:443 52.222.240.231:443
tcp 172.25.40.31:51086 172.20.43.216:51086 216.58.211.194:443 216.58.211.194:443
tcp 172.25.40.31:51087 172.20.43.216:51087 216.58.211.194:443 216.58.211.194:443
tcp 172.25.40.31:2074  172.20.43.208:2074 150.150.150.74:80  150.150.150.74:80
tcp 172.25.40.31:51172 172.20.43.216:51172 104.244.42.195:443 104.244.42.195:443
tcp 172.25.40.31:51173 172.20.43.216:51173 104.244.42.195:443 104.244.42.195:443
tcp 172.25.40.31:50677 172.20.43.216:50677 52.222.240.224:443 52.222.240.224:443
tcp 172.25.40.31:50630 172.20.43.227:50630 172.25.1.214:443  172.25.1.214:443
tcp 172.25.40.31:1077  172.20.43.209:49894 52.35.43.119:443  52.35.43.119:443
tcp 172.25.40.31:50125 172.20.43.218:50125 72.247.199.53:443 72.247.199.53:443
tcp 172.25.40.31:50034 172.20.43.212:50034 31.13.83.4:80     31.13.83.4:80
tcp 172.25.40.31:50035 172.20.43.212:50035 31.13.83.4:80     31.13.83.4:80
tcp 172.25.40.31:50913 172.20.43.216:50913 198.47.127.15:443 198.47.127.15:443
tcp 172.25.40.31:50926 172.20.43.216:50926 23.223.77.88:443  23.223.77.88:443
tcp 172.25.40.31:50927 172.20.43.216:50927 23.223.77.88:443  23.223.77.88:443
tcp 172.25.40.31:50055 172.20.43.212:50055 31.13.83.4:80     31.13.83.4:80
tcp 172.25.40.31:50056 172.20.43.212:50056 31.13.83.4:80     31.13.83.4:80
tcp 172.25.40.31:50123 172.20.43.216:50123 199.96.57.6:443   199.96.57.6:443
tcp 172.25.40.31:50509 172.20.43.216:50509 199.96.57.6:80    199.96.57.6:80
tcp 172.25.40.31:49844 10.1.0.17:49844    64.233.184.189:443 64.233.184.189:443
tcp 172.25.40.31:50129 172.20.43.218:50129 54.231.115.26:80  54.231.115.26:80
tcp 172.25.40.31:50130 172.20.43.218:50130 54.231.115.26:80  54.231.115.26:80
tcp 172.25.40.31:50629 172.20.43.227:50629 172.25.2.147:443  172.25.2.147:443
tcp 172.25.40.31:50631 172.20.43.227:50631 172.25.2.147:443  172.25.2.147:443
tcp 172.25.40.31:50632 172.20.43.227:50632 172.25.2.147:443  172.25.2.147:443
tcp 172.25.40.31:50633 172.20.43.227:50633 172.25.2.147:443  172.25.2.147:443
tcp 172.25.40.31:50634 172.20.43.227:50634 172.25.2.147:443  172.25.2.147:443
tcp 172.25.40.31:50635 172.20.43.227:50635 172.25.2.147:443  172.25.2.147:443
tcp 172.25.40.31:50636 172.20.43.227:50636 172.25.2.147:443  172.25.2.147:443
tcp 172.25.40.31:49932 10.1.0.17:49932    130.206.192.8:80   130.206.192.8:80
tcp 172.25.40.31:50627 172.20.43.227:50627 23.23.175.171:443 23.23.175.171:443
tcp 172.25.40.31:49930 10.1.0.17:49930    130.206.192.26:80  130.206.192.26:80
tcp 172.25.40.31:49933 10.1.0.17:49933    130.206.192.26:80  130.206.192.26:80
tcp 172.25.40.31:49934 10.1.0.17:49934    130.206.192.26:80  130.206.192.26:80
tcp 172.25.40.31:49935 10.1.0.17:49935    130.206.192.26:80  130.206.192.26:80
tcp 172.25.40.31:49936 10.1.0.17:49936    130.206.192.26:80  130.206.192.26:80
tcp 172.25.40.31:49937 10.1.0.17:49937    130.206.192.26:80  130.206.192.26:80
tcp 172.25.40.31:50860 172.20.43.216:50860 69.172.216.55:443 69.172.216.55:443
tcp 172.25.40.31:49938 10.1.0.17:49938    130.206.192.26:80  130.206.192.26:80
tcp 172.25.40.31:50861 172.20.43.216:50861 69.172.216.55:443 69.172.216.55:443
tcp 172.25.40.31:49939 10.1.0.17:49939    130.206.192.26:80  130.206.192.26:80
tcp 172.25.40.31:49940 10.1.0.17:49940    130.206.192.26:80  130.206.192.26:80
tcp 172.25.40.31:49941 10.1.0.17:49941    130.206.192.26:80  130.206.192.26:80
tcp 172.25.40.31:49942 10.1.0.17:49942    130.206.192.26:80  130.206.192.26:80
tcp 172.25.40.31:49943 10.1.0.17:49943    130.206.192.26:80  130.206.192.26:80
tcp 172.25.40.31:49944 10.1.0.17:49944    130.206.192.26:80  130.206.192.26:80
udp 172.25.40.31:62346 172.20.43.215:62346 193.145.233.5:53  193.145.233.5:53
tcp 172.25.40.31:51073 172.20.43.216:51073 23.223.69.92:443  23.223.69.92:443
